type,drive,network,bias_hh_ct,mae_hh_ct,rmse_hh_ct,bias_hh_wct,mae_hh_wct,rmse_hh_wct,bias_wct_ct,mae_wct_ct,rmse_wct_ct
AFS,5,driving,-1.79255825512628,10.4935545876789,17.162681183255,-0.579187798015197,9.50433368154425,15.3879758007728,-1.21337045711108,7.71875930200559,14.1289599186329
AFS,10,driving,-2.48919563276103,37.341492420796,57.9822641433351,-0.298866067968523,33.2925547449355,52.0839508368195,-2.19032956479251,25.3185175200643,42.5784596470549
AFS,15,driving,2.68252992086625,78.9109324189989,122.172625568712,4.31620079414557,70.6521162238209,109.217240441084,-1.63367087327931,51.0501844956277,85.8467743732026
ARR,5,driving,-6.88864411158478,43.2989531207,68.4667795544461,-2.62895879316834,38.7415025301455,60.5539888235687,-4.25968531841643,30.739267240653,53.5612367839688
ARR,10,driving,-5.24477121980529,149.704851926112,221.607522760123,2.6478653827793,133.876654001898,197.742143510647,-7.89263660258461,101.168972862013,164.164590644033
ARR,15,driving,16.5874213015226,302.873199974165,467.918548987717,17.5916868853656,267.787620118729,402.779749213233,-1.00426558384296,198.274105182165,338.548399855754
CNV,5,driving,-0.351094196671777,2.13767178873706,3.14609780114447,-0.115217800317883,1.95058283207809,2.89354340095275,-0.235876396353895,1.51884130006234,2.55815084286785
CNV,10,driving,-0.354765856233819,6.92939812864708,10.0503904772141,0.074342330654354,6.13686584893262,8.88658758926347,-0.429108186888174,4.71600029204787,7.57053959133459
CNV,15,driving,0.55795044172241,13.9346079538115,20.6113104334769,0.793507410714787,12.4220393646836,18.1656264417612,-0.23555696899238,9.14319402088142,14.7786586871245
FF,5,driving,-0.0168615524590992,0.183459419386363,0.501532307445484,-0.0141867870802514,0.153377084351289,0.444395708623623,-0.00267476537884784,0.112415966032586,0.39681424161659
FF,10,driving,-0.00981800362813319,0.516567398471242,0.92926093663679,0.0139158003515807,0.478592048435017,0.892855534185402,-0.0237338039797141,0.3169428484777,0.719909118545001
FF,15,driving,0.0737055820457954,1.00880777071995,1.67985659890886,0.0722951873880248,0.932314395152005,1.555607146147,0.00141039465777007,0.672849516716934,1.26637117389898
GRC,5,driving,-0.343964999185636,2.27067081149995,6.13605765734129,0.0246682167669177,2.09072860328105,5.69311465059385,-0.368633215952553,1.6332299933166,5.143420934956
GRC,10,driving,-0.807744042504194,8.13259113859356,16.3659355263517,-0.407729018887636,7.33214759088588,14.9322320070321,-0.400015023616565,5.21784875851572,11.3606981718573
GRC,15,driving,0.776501940433463,17.604297596783,31.8795398028973,1.25951542518239,16.0841182119931,29.7867362428531,-0.483013484748923,10.9635586033373,21.5453557751648
Not.included,5,driving,-0.260129006531763,1.90877435370367,3.23040020763805,-0.117317596446002,1.7571200709901,2.94623016177501,-0.14281141008576,1.30052989840104,2.52513299936386
Not.included,10,driving,-0.168324880793922,6.09324049580743,9.18496878346298,0.147920141755545,5.468345801531,8.23232452910337,-0.316245022549465,4.16190333777022,7.0112334755537
Not.included,15,driving,0.637677405042317,12.0970251835128,18.7360654583659,0.672820733152486,10.7542754123772,16.2122460984427,-0.0351433281101719,7.95899324920109,13.5881466490418
RELRR,5,driving,0.0183830624364144,0.0301211135693805,0.168604137730887,0.00649307323701319,0.0186031056194566,0.131013483119192,0.0118899891994012,0.0191143155308038,0.133714865278209
RELRR,10,driving,0.00387445833708392,0.00577511372559728,0.0705385372068256,0.00110252168116381,0.00300733850744303,0.0488797519291233,0.0027719366559201,0.00574584845388546,0.0721020668504459
RELRR,15,driving,0.00242027892350699,0.00298282004515384,0.0501959620459505,0.000534888889573309,0.00107644270684825,0.0275069441988193,0.00188539003393368,0.00214304425833962,0.0420748818191363
RELSMK,5,driving,0.0122558516059,0.0694674288196034,0.14133431965118,0.0028170559869241,0.0625382235585067,0.127567676057982,0.00943879561897588,0.050889512039167,0.114269873754703
RELSMK,10,driving,-0.000484259487978972,0.0210587037619854,0.0547489489453736,0.00134333801046995,0.0172098508520688,0.0398914239853639,-0.00182759749844892,0.0156020004956835,0.0496366294560407
RELSMK,15,driving,0.00173743885540804,0.0105240503413864,0.0334452133960368,0.000642182936268219,0.00864588071294973,0.0226363647268127,0.00109525591913982,0.00780106092595982,0.0301555751195781
RR,5,driving,-6.87136835661291,43.158132690828,68.2550139086412,-2.61477200608808,38.6271938692412,60.3811502757408,-4.25659635052484,30.6341033287842,53.3931133409549
RR,10,driving,-5.12394694276427,149.271272458201,221.023878120223,2.6339495824277,133.474943556132,197.176412611454,-7.75789652519197,100.995264050592,163.817098951452
RR,15,driving,16.8529475774068,301.957632699252,466.57959340159,17.5193916979775,266.946664757123,401.53649491666,-0.666444120570781,197.883591542967,337.848162952278
SMK,5,driving,-0.8117491701909,4.65135451242046,7.31024046061324,-0.354831847820591,4.21934269571419,6.5090848832725,-0.456917322370305,3.32058010817004,5.86880645411941
SMK,10,driving,-1.14399645049507,16.0537255760925,24.892165709989,-0.0417754825810305,14.366508848489,22.4829742812994,-1.10222096791405,10.9922172049895,18.5007369735938
SMK,15,driving,0.843715775639838,33.3954377348317,51.4182397986046,1.50288678090231,29.911290458459,45.8797585188529,-0.659171005262485,21.7493464024757,36.4730491241492
SPF,5,driving,-0.285335686565237,2.13445645397719,3.51526282852624,-0.13380636664364,1.91457810314906,3.13320793934088,-0.151529319921597,1.46889690148439,2.74033029386218
SPF,10,driving,-0.153280905123756,7.05602194290465,10.6492649064024,0.0762961028457806,6.30595103705076,9.52262664342614,-0.229577007969536,4.7497016337832,7.85915349154028
SPF,15,driving,0.581817632951988,14.7187375388227,23.0102095352795,0.760291177346073,13.0020787349834,19.9576150789475,-0.178473544394087,9.56220338887858,16.3055092381137
